num,img,title,field,organizer,start_day,finish_day,homepage
34,https://www.wevity.com/upload/contest/20241204150816_2cc2b368.jpg,미국인 친구와 함께 하는 농심 쿠킹 챌린지,"영상, UCC, 사진",펀데이코리아네트웍스,2024-12-04,2024-12-20,https://fundaykorea.com/event/661
35,https://www.wevity.com/upload/contest/20241205150318_1ccd7049.jpg,좋은생각 제20회 생활문예대상,"문학, 글, 시나리오",좋은생각,2024-12-01,2025-02-16,https://www.positive.co.kr/about/lifestory
36,https://www.wevity.com/upload/contest/20241204183931_bd1e62bd.jpg,2025 5·18문학상 신인상 공모,"문학, 글, 시나리오","5·18기념재단,한국작가회의,계간문학들",2025-02-10,2025-03-14,https://518.org/base/contents/view?contentsNo=360&menuLevel=2&menuNo=120
37,https://www.wevity.com/upload/contest/20241204183158_10290fd3.jpg,2024년 안전혁신 아이디어 공모전,"기획, 아이디어",한국어촌어항공단,2024-12-02,2024-12-20,https://fipa.or.kr/fipa/bbs/i-306/detail.do?ntt_sn=13
38,https://www.wevity.com/upload/contest/20241204181635_0069107e.jpg,2024년 제2회 광주 수리수선 공모전,기타,광주광역시 동구 친환경자원순환센터,2023-12-06,2024-12-06,https://blog.naver.com/zerowaste_gj/223658661727
39,https://www.wevity.com/upload/contest/20241204141438_ada78d0b.jpg,내유작은도서관 서포터즈 모집,"대외활동, 서포터즈",내유작은도서관,2024-12-04,2024-12-29,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93726
40,https://www.wevity.com/upload/contest/20241204155913_992411c9.jpg,베네투스 뷰티 서포터즈 베티즈 5기 모집,"대외활동, 서포터즈",베네투스,2024-11-28,2024-12-09,https://blog.naver.com/benetus_official/223676185834
41,https://www.wevity.com/upload/contest/20241203200606_9eb548e6.jpg,2024 과제부활전 웹툰 공모전,"디자인, 캐릭터, 웹툰",오늘의웹툰,2024-12-16,2024-12-31,https://challenge.webtoon.today/univ2024
42,https://www.wevity.com/upload/contest/20241203154914_6a2b96c9.jpg,"어린이과학동아 챌린지 나의 인생 책 소개하고, 한강 작가의 책 선물 받자!",기타,동아사이언스,2024-11-04,2024-12-30,https://www.popcornplanet.co.kr/notice/view/3110
43,https://www.wevity.com/upload/contest/20241204100730_c34f95da.jpg,2024년도 공무원연금공단 대국민 ESG 아이디어 공모전,"기획, 아이디어",공무원연금공단,2024-12-04,2024-12-13,https://www.geps.or.kr/notiCommunication_notice_center/36632
44,https://www.wevity.com/upload/contest/20241203153452_805ea524.jpg,이북리더기 전문 브랜드 이노스페이스원 대학생 서포터즈 2기 모집,"대외활동, 서포터즈",이노맥스글로벌,2024-12-04,2024-12-11,https://www.innospaceone.com/
45,https://www.wevity.com/upload/contest/20241203152215_a475e3e6.jpg,(사)한국청소년육성연맹 청소년 숏폼영상 공모전,"영상, UCC, 사진",(사)한국청소년육성연맹,2024-12-01,2025-02-28,https://kyna.imweb.me/35/?idx=130178099&bmode=view
46,https://www.wevity.com/upload/contest/20241203135903_f6f7fec0.jpg,비클 서포터즈 비클럽 2기 모집,"대외활동, 서포터즈",비클,2024-12-03,2024-12-15,https://vialmiracle.co.kr/event/event_list/event4.html
47,https://www.wevity.com/upload/contest/20241203191959_975530a0.jpg,2024 낭만 여행기,"문학, 글, 시나리오",야놀자,2024-11-25,2024-12-31,https://board.yanolja.com/event/956/index.html
48,https://www.wevity.com/upload/contest/20241203143313_cd998369.jpg,"2024년 시립구로청소년센터 멘토링, 함께여행 멘토모집",기타,시립구로청소년센터,2024-12-03,2024-12-13,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93708
49,https://www.wevity.com/upload/contest/20241203184342_02d4a191.jpg,APEC 2025 KOREA 경주 디자인 공모전,"디자인, 캐릭터, 웹툰",경주시,2024-12-02,2024-12-18,https://www.apecgyeongju.kr/info
50,https://www.wevity.com/upload/contest/20241203025349_30d81a46.jpg,제2기 국방부 2030 자문단 모집,"대외활동, 서포터즈",국방부,2024-12-02,2024-12-13,https://www.2030db.go.kr/user/ntt/BBS_0000000000000005/NTT_0000000000000342/selectNttDetail.do
51,https://www.wevity.com/upload/contest/20241202185531_52d9dcf0.jpg,안중근의사기념사업회 천안지부 1기 봉사단원 모집,봉사활동,안중근의사기념사업회 천안지부,2024-11-25,2024-12-10,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93702
52,https://www.wevity.com/upload/contest/20241202183021_0fb212d6.jpg,"2024 비스트로피자, 네가 꾸며줘 슬로건 공모전","네이밍, 슬로건",비스트로피자,2024-12-12,2025-01-19,https://www.bistropizza.co.kr/
